Ounce Rate gold,,,,,Silver Rate gold,,,
"3,388.14",,,,,36.45,,,
Gold ,Sale,Purchase,,,,,,
18K,302.23,295.14,,,Silver,Sale,Purchase,Weight
21K,354.62,344.53,,,Price," AED4,520 "," AED3,950 ",1000 g
22K,370.74,360.73,,,,,,
24K,402.98,395.10,,,,,,
,,,,,,,,
,,,,,,,,
Buy,Sale,Bars 24K,,,,,,
 AED390.00 , AED460.00 ,1.00,,,,,,
 AED980.00 ," AED1,080.00 ",2.50,,,,,,
" AED1,970.00 "," AED2,090.00 ",5.00,,,,,,
" AED3,950.00 "," AED4,120.00 ",10.00,,,,,,
" AED6,140.00 "," AED6,370.00 ",15.55,,,,,,
" AED7,900.00 "," AED8,170.00 ",20.00,,,,,,
" AED12,280.00 "," AED12,650.00 ",31.10,,,,,,
" AED12,280.00 "," AED12,710.00 ",31.10,,,,,,
" AED19,750.00 "," AED20,300.00 ",50.00,,,,,,
" AED39,510.00 "," AED40,520.00 ",100.00,,,,,,
 Buy , Sale ,Coins 24K,,,,,,
 AED790.00 , AED840.00 ,2.00,,,,,,
" AED1,580.00 "," AED1,640.00 ",4.00,,,,,,
" AED3,160.00 "," AED3,250.00 ",8.00,,,,,,
" AED3,950.00 "," AED4,060.00 ",10.00,,,,,,
" AED7,900.00 "," AED8,100.00 ",20.00,,,,,,
" AED15,800.00 "," AED16,220.00 ",40.00,,,,,,
 Buy , Sale ,Coins 21K,,,,,,
 AED680.00 , AED780.00 ,2.00,,,,,,
" AED1,370.00 "," AED1,520.00 ",4.00,,,,,,
" AED2,480.00 "," AED2,710.00 ",7.20,,,,,,
" AED2,750.00 "," AED3,010.00 ",8.00,,,,,,
 Buy , Sale ,Coins 22K,,,,,,
 AED720.00 , AED810.00 ,2.00,,,,,,
" AED1,440.00 "," AED1,590.00 ",4.00,,,,,,
" AED2,880.00 "," AED3,150.00 ",8.00,,,,,,
